love,affection,fondness,devotion,passion
happy,content,joyful,delighted,elated
large,big,huge,massive,enormous
fast,quick,swift,speedy,rapid
easy,simple,effortless,straightforward,uncomplicated
nice,kind,pleasant,good,agreeable
old,aged,antique,ancient,veteran
new,fresh,modern,current,recent
good,great,excellent,superb,wonderful
bad,poor,inferior,defective,flawed,evil,evil
happy,content,joyful,delighted,elated
right,correct,proper,accurate,appropriate
wrong,incorrect,flawed,mistaken,erroneous
strong,powerful,robust,sturdy,durable
weak,feeble,frail,delicate,fragile
hard,difficult,challenging,tough,hard-working
soft,gentle,pliant,supple,yielding
big,large,huge,enormous,towering
small,tiny,little,miniature,petite
happy,joyful,content,delighted,pleased
sad,unhappy,depressed,gloomy,melancholic
heavy,massive,weighty,cumbersome,ponderous
light,little,insubstantial,weightless,featherweight
old,aged,elderly,mature,ripe
young,juvenile,new,fresh,immature
fast,speedy,swift,quick,nimble
slow,sluggish,lethargic,drowsy,slothful
hot,scorching,sizzling,torrid,blistering
cold,frigid,frozen,icy,chilly
wet,damp,moist,soggy,saturated
dry,arid,desiccated,parched,sere
empty,barren,void,hollow,desolate
full,stuffed,brimming,congested,crowded
open,unlocked,unsealed,unfastened,unclosed
close,locked,sealed,fastened,shut
high,tall,towering,soaring,lofty
low,short,squat,stunted,brief
near,close,adjacent,proximate,immediate
far,distant,removed,divergent,separate
right,correct,just,proper,admissible
wrong,incorrect,mistaken,errant,inapt
happy,joyful,content,delighted,pleased
unhappy,sad,depressed,gloomy,melancholic
good,great,excellent,nice,pleasant
bad,terrible,horrible,awful,dreadful,evil,evil
